country_code,2018,2019,2020,2021,2022,2023
BGD,0.0,0.0,0.0,0.0,0.0,
BRA,0.0,0.0,0.0,0.0,0.0,0.0
CHL,0.0,0.0,0.0,0.0,0.0,0.0
CIV,0.0,0.0,0.0,0.0,0.0,
COL,0.0,0.0,0.0,0.0,0.0,0.0
ETH,0.0,0.0,0.0,0.0,0.0,
GHA,0.0,0.0,0.0,0.0,0.0,
IDN,0.0,0.0,0.0,0.0,0.0,0.0
KEN,0.0,0.0,0.0,0.0,0.0,0.0
KHM,0.0,0.0,0.0,0.0,0.0,
MAR,0.0,0.0,0.0,0.0,0.0,0.0
MEX,0.0,0.0,0.0,0.0,0.0,0.0
MYS,0.0,0.0,0.0,0.0,0.0,
NGA,0.0,0.0,0.0,0.0,0.0,
PER,0.0,0.0,0.0,0.0,0.0,
PHL,0.0,0.0,0.0,0.0,0.0,
SEN,0.0,0.0,0.0,0.0,0.0,0.0
THA,0.0,0.0,0.0,0.0,0.0,0.0
TZA,0.0,0.0,0.0,0.0,0.0,
VNM,0.0,0.0,0.0,0.0,0.0,
