country_code,region,score_market_opportunity,score_decarbonization_opportunity,score_business_environment,score_energy_security,total_score,rank
MYS,SEA,66.11,85.0,98.97,73.07,81.53,1
CHL,LatAm,60.24,79.04,99.99,77.72,77.52,2
THA,SEA,34.65,77.14,62.69,94.8,62.39,3
VNM,SEA,53.38,59.11,59.36,69.47,57.96,4
MEX,LatAm,35.59,72.52,36.98,69.25,54.17,5
BRA,LatAm,44.29,58.74,52.08,37.77,52.02,6
IDN,SEA,36.68,57.72,58.92,21.1,49.82,7
MAR,Africa,25.81,55.77,57.1,92.07,48.86,8
PER,LatAm,35.69,51.81,57.75,52.42,48.19,9
COL,LatAm,41.07,53.53,53.22,12.58,47.68,10
GHA,Africa,36.77,37.52,67.98,55.73,44.3,11
SEN,Africa,37.33,34.56,61.47,98.89,43.99,12
PHL,SEA,32.99,47.92,45.84,54.27,43.34,13
BGD,SEA,37.58,43.54,19.8,88.94,39.27,14
CIV,Africa,42.81,28.54,40.83,77.31,37.72,15
KHM,SEA,33.56,35.89,32.64,77.24,36.61,16
KEN,Africa,31.0,28.65,33.52,45.03,31.15,17
TZA,Africa,29.5,17.59,42.5,81.84,29.36,18
ETH,Africa,42.77,16.82,13.4,76.01,26.88,19
NGA,Africa,23.19,17.24,0.14,40.53,16.77,20
