country_code,score_balanced,score_growth_focused,score_impact_first,score_risk_averse,rank_balanced,rank_growth_focused,rank_impact_first,rank_risk_averse,avg_rank,rank_std,rank_min,rank_max,rank_range,stability,region
MYS,81.53,76.11,82.72,85.27,1,1,1,1,1.0,0.0,1,1,0,Very High,SEA
CHL,77.52,71.78,78.36,82.65,2,2,2,2,2.0,0.0,2,2,0,Very High,LatAm
THA,62.39,52.49,67.36,61.62,3,4,3,3,3.2,0.5,3,4,1,Very High,SEA
VNM,57.96,56.51,58.52,58.3,4,3,5,4,4.0,0.8,3,5,2,Very High,SEA
BRA,52.02,48.74,53.8,51.42,6,5,6,5,5.5,0.6,5,6,1,Very High,LatAm
MEX,54.17,46.71,59.64,48.91,5,6,4,11,6.5,3.1,4,11,7,Medium,LatAm
IDN,49.82,44.5,51.86,51.11,7,8,7,6,7.0,0.8,6,8,2,Very High,SEA
MAR,48.86,41.31,51.79,50.63,8,12,8,7,8.8,2.2,7,12,5,High,Africa
PER,48.19,43.87,49.51,50.19,9,9,9,9,9.0,0.0,9,9,0,Very High,LatAm
COL,47.68,44.58,48.94,48.24,10,7,10,12,9.8,2.1,7,12,5,High,LatAm
GHA,44.3,42.59,42.85,50.43,11,11,12,8,10.5,1.7,8,12,4,High,Africa
SEN,43.99,43.34,42.37,49.23,12,10,13,10,11.2,1.5,10,13,3,Very High,Africa
PHL,43.34,39.71,44.94,43.67,13,14,11,13,12.8,1.3,11,14,3,Very High,SEA
CIV,37.72,40.67,35.68,39.46,15,13,16,14,14.5,1.3,13,16,3,Very High,Africa
BGD,39.27,38.97,41.06,34.82,14,15,14,16,14.8,1.0,14,16,2,Very High,SEA
KHM,36.61,36.19,37.0,36.08,16,16,15,15,15.5,0.6,15,16,1,Very High,SEA
KEN,31.15,31.49,30.67,32.0,17,18,17,18,17.5,0.6,17,18,1,Very High,Africa
TZA,29.36,31.09,26.92,33.74,18,19,18,17,18.0,0.8,17,19,2,Very High,Africa
ETH,26.88,33.54,24.46,24.9,19,17,19,19,18.5,1.0,17,19,2,Very High,Africa
NGA,16.77,19.11,17.03,13.05,20,20,20,20,20.0,0.0,20,20,0,Very High,Africa
